Noise,h,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax
add,0.17,0.7931486719079542,0.7872503779088577,0.005898293999096582,0.00906343309348625,8.214581944010173e-05,0.5534853123581901,0.293693615373333,0.1876699371041218,0.011512697256938723,-0.008726653776666505,-0.09438595475780667,5.6918689020478766e-06
add,0.171,0.7766335332918116,0.7865601306362809,-0.009926597344469323,0.009470819829854456,8.969642824956438e-05,0.5605673900032634,0.3310694851244839,0.15703075590632296,0.0120407611510301,-0.047510053173179245,-0.05542966310834595,5.774505694645489e-06
add,0.17200000000000001,0.7835608171011332,0.7839466454537005,-0.00038582835256728565,0.008924006335140976,7.963788906963628e-05,0.5341117134795867,0.2657068351271866,0.08488121063721449,0.011383302850844134,0.02617803732103111,-0.12250196867057866,4.5224431172467175e-06
add,0.17300000000000001,0.7828945598619013,0.7820040138475657,0.0008905460143355803,0.009276246529239817,8.604874967123376e-05,0.5736788404295932,0.3636585277864055,0.2738278374665755,0.011862053740285053,-0.21248196323177365,0.22795871904045514,6.221326204218419e-06
add,0.17400000000000002,0.7739502572304401,0.7801009785162129,-0.0061507212857727644,0.009373661318164127,8.786552650764643e-05,0.5655652067561202,0.3015608385967052,0.1680574747571908,0.012015860186294506,-0.05490661854182946,0.01149570066899508,6.534878021957296e-06
add,0.17500000000000002,0.7711278205666366,0.7796819951212391,-0.0085541745546025,0.00948077616235205,8.988511664062287e-05,0.5813490621045577,0.34056913035052555,0.1866456185721827,0.012159786992603153,-0.12803704223475848,-0.0605223151258804,6.512476183409458e-06
add,0.17600000000000002,0.7872663972508306,0.7771596430610292,0.010106754189801337,0.008776284824805481,7.702317532611098e-05,0.5290262661985894,0.22394290952063087,0.07695492603803106,0.011292804354413221,-0.06902743346410575,0.14742974424835004,3.7528270105316786e-06
add,0.17700000000000002,0.7678742068635057,0.775050431494895,-0.0071762246313893385,0.009545628030758207,9.111901450159682e-05,0.6092820801101316,0.3621224035017747,0.24978175802556146,0.012316306751306103,0.04476638590358503,-0.1772411472652945,8.602736555471811e-06
add,0.17800000000000002,0.7891721733712657,0.7738845534810198,0.015287619890245852,0.009442877442264422,8.916793438962628e-05,0.5739731587197507,0.3052793088724934,0.14923191261491037,0.01220179573990316,0.008938595497498323,-0.03028908001641032,5.564019189580886e-06
add,0.17900000000000002,0.7685680242827291,0.7718666665735229,-0.0032986422907937962,0.009122005827946091,8.321099032508244e-05,0.5242135096468784,0.3044001049660049,0.18154519529320953,0.011818137897982358,-0.0027578203275226854,-0.1145739973191493,5.841275008073996e-06
