Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Smax/Var,Lag-1 AC
35,0.9878881821583195,0.9878881821583195,-0.22153330838990146,0.9965791864877867,0.9593613933236576,0.6037735849056605,0.8867176225346088
36,0.9903611452598571,0.9903611452598571,0.6618169508436225,0.9959556006912894,0.9825834542815677,0.8243831640058056,0.8709177401250734
37,0.9909099007607746,0.9909099007607746,0.640386979528569,0.9964010191173587,0.9550072568940494,0.3251088534107402,0.8904448839239582
38,0.9840290769148538,0.9840290769148538,-0.49015268943645657,0.9905927628414132,0.969521044992743,0.3178519593613933,0.9384253567801593
39,0.9863915762467261,0.9863915762467261,0.126199511821405,0.9949186665953996,0.9869375907111756,0.2714078374455733,0.9278564683663834
40,0.9839293031874142,0.9839293031874142,-0.3376770538243626,0.9934505674630747,0.9753265602322206,0.351233671988389,0.9040818144565005
41,0.9865341101430684,0.9865341101430684,0.08841377590108147,0.9944376146952446,0.9477503628447026,-0.2757619738751814,0.8710388939369643
42,0.9906960999162613,0.9906960999162613,0.5472410782689258,0.9962299784417481,0.9738751814223513,0.760522496371553,0.9519268801111763
43,0.985589823079801,0.985589823079801,0.5452384770253175,0.9945445151175012,0.969521044992743,0.35413642960812775,0.8923619648297609
44,0.9909633509719029,0.9909633509719029,-0.2848789352717943,0.9966789602152262,0.9854862119013063,0.6313497822931785,0.9113047196536426
45,0.9901758511946122,0.9901758511946122,0.2624904235038395,0.9961622748409856,0.9854862119013063,0.3497822931785196,0.9185739483670959
46,0.9878846188109108,0.9878846188109108,0.586544800185294,0.9957988134053128,0.9796806966618288,0.6734397677793905,0.8473355069752525
47,0.9881126730450583,0.9881126730450583,0.663545174336772,0.9959270939120209,0.9854862119013063,0.7634252539912918,0.9293281308461168
48,0.9802697453988275,0.9802697453988275,-0.4156110249968821,0.9945373884226841,0.9883889695210449,0.8098693759071118,0.8773317654604734
49,0.985935467778431,0.985935467778431,0.0678675147433499,0.9946442888449408,0.9666182873730045,0.756168359941945,0.7951609742191814
50,0.9841537940741533,0.9841537940741533,0.6091898729666648,0.9943699110944821,0.9637155297532656,0.46444121915820036,0.8837849876173677
51,0.9839720633563168,0.9839720633563168,0.3787054358864717,0.995228677819944,0.9753265602322206,0.5079825834542816,0.9122133732428241
52,0.9893099577743331,0.9893099577743331,0.30623763963867656,0.996383202380316,0.9854862119013063,0.6226415094339622,0.9443512035205872
53,0.9922996062501112,0.9922996062501112,-0.462301566091186,0.997666007447396,0.9753265602322206,0.4818577648766328,0.921973381794858
54,0.9895487020507063,0.9895487020507063,-0.28251643593992193,0.9957417998467759,0.9796806966618288,0.31494920174165464,0.9348584460241951
